beam_id,node_i,node_j,b [mm],h [mm],length [mm],wg [kN/m],wq [kN/m],wg_alpha [kN/m],wq_alpha [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_t1_i [mm],nbl_t1_i,dbl_t2_i [mm],nbl_t2_i,dbl_b1_i [mm],nbl_b1_i,dbl_b2_i [mm],nbl_b2_i,dbh_i [mm],sbh_i [mm],nbh_b_i,nbh_h_i,dbl_t1_mid [mm],nbl_t1_mid,dbl_t2_mid [mm],nbl_t2_mid,dbl_b1_mid [mm],nbl_b1_mid,dbl_b2_mid [mm],nbl_b2_mid,dbh_mid [mm],sbh_mid [mm],nbh_b_mid,nbh_h_mid,dbl_t1_j [mm],nbl_t1_j,dbl_t2_j [mm],nbl_t2_j,dbl_b1_j [mm],nbl_b1_j,dbl_b2_j [mm],nbl_b2_j,dbh_j [mm],sbh_j [mm],nbh_b_j,nbh_h_j,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_i_q [mm],sbh_mid_q [mm],sbh_j_q [mm],cover_q [mm],bondslip_factor_q
1029,1001,1002,300,500,2950,3.6,0,3.6,0,8.5,240,30,20,2,20,0,12,2,12,2,6,125,2,2,20,2,20,0,12,2,12,0,6,125,2,2,20,2,20,1,12,2,12,1,6,125,2,2,27.995,470.895,472.626,130.972,126.669,131.028,28.4248,0.5
1030,1002,1003,300,500,5350,21.1384,4.25,21.1384,4.25,8.5,240,30,20,2,20,1,12,2,12,1,6,125,2,2,20,2,20,0,12,2,12,1,6,125,2,2,20,2,20,1,12,2,12,0,6,125,2,2,24.8027,483.081,483.962,128.307,129.146,131.063,31.5513,0.5
1031,1003,1004,300,500,5350,21.1384,4.25,21.1384,4.25,8.5,240,30,20,2,20,1,12,2,12,0,6,125,2,2,20,2,20,0,12,2,12,2,6,125,2,2,20,2,20,0,12,2,12,0,6,125,2,2,24.3051,485.244,474.422,126.474,130.292,127.23,34.8427,0.5
1032,1005,1006,300,600,2950,16.22,6.375,16.22,6.375,8.5,240,30,20,2,20,0,12,2,12,2,6,125,2,2,20,2,20,0,12,2,12,0,6,125,2,2,20,2,20,1,12,2,12,0,6,125,2,2,23.5089,473.848,486.265,126.259,126.824,125.261,33.1938,0.5
1033,1006,1007,300,600,5350,25.3968,8.5,25.3968,8.5,8.5,240,30,20,2,20,1,12,2,12,0,6,125,2,2,20,2,20,0,12,2,12,2,6,125,2,2,20,2,20,2,12,2,12,1,6,125,2,2,25.0198,488.68,481.652,130.024,126.167,129.999,28.6826,0.5
1034,1007,1008,300,600,5350,25.3968,8.5,25.3968,8.5,8.5,240,30,20,2,20,2,12,2,12,1,6,125,2,2,20,2,20,0,12,2,12,2,6,125,2,2,20,2,20,1,12,2,12,1,6,125,2,2,21.0735,480.767,477.628,130.821,128.583,126.754,33.032,0.5
1035,1009,1010,300,600,2950,4.32,0,4.32,0,8.5,240,30,20,2,20,0,12,2,12,2,6,125,2,2,20,2,20,0,12,2,12,0,6,125,2,2,20,2,20,1,12,2,12,1,6,125,2,2,27.4603,483.108,485.327,128.856,130.006,125.324,25.555,0.5
1036,1010,1011,300,600,5350,25.3968,8.5,25.3968,8.5,8.5,240,30,20,2,20,1,12,2,12,1,6,125,2,2,20,2,20,0,12,2,12,2,6,125,2,2,20,2,20,2,12,2,12,2,6,125,2,2,25.176,476.372,475.633,129.29,127.2,126.528,26.281,0.5
1037,1011,1012,300,600,5350,25.3968,8.5,25.3968,8.5,8.5,240,30,20,2,20,2,12,2,12,2,6,125,2,2,20,2,20,0,12,2,12,2,6,125,2,2,20,2,20,1,12,2,12,2,6,125,2,2,24.311,487.57,476.236,130.523,130.237,125.952,27.4414,0.5
1038,1013,1014,300,600,2950,4.32,0,4.32,0,8.5,240,30,25,2,25,0,12,2,12,2,8,150,2,2,25,2,25,0,12,2,12,0,8,150,2,2,25,2,25,0,12,2,12,1,8,150,2,2,23.3089,481.767,477.839,151.93,157.352,156.824,32.4944,0.5
