column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,250,250,2600,1.5,0,11.5,140,30,16,12,0,0,6,75,2,2,26.7346,285.201,289.069,76.9965,26.9369,0.5
2,2,1002,300,300,2600,2.16,0,11.5,140,30,12,12,2,1,6,50,2,2,32.8804,287.64,286.588,52.0406,28.5156,0.5
3,3,1003,300,300,2600,2.16,0,11.5,140,30,12,12,2,1,6,50,2,2,31.948,289.581,291.408,52.0795,31.701,0.5
4,4,1004,250,250,2600,1.5,0,11.5,140,30,16,12,0,0,6,75,2,2,31.8265,290.209,287.17,76.0733,29.5976,0.5
5,5,1005,300,300,2600,2.16,0,11.5,140,30,16,12,0,1,6,50,2,2,31.0779,290.204,288.814,50.444,27.8932,0.5
8,8,1008,300,300,2600,2.16,0,11.5,140,30,16,12,0,1,6,50,2,2,29.9007,288.02,288.167,51.8078,27.9431,0.5
9,9,1009,300,300,2600,2.16,0,11.5,140,30,16,12,0,2,6,50,2,2,33.4734,292.979,286.697,51.0426,31.5535,0.5
10,10,1010,300,300,2600,2.16,0,11.5,140,30,12,12,3,3,6,50,2,2,30.8105,286.751,292.277,50.4549,31.1598,0.5
11,11,1011,300,300,2600,2.16,0,11.5,140,30,12,12,3,3,6,50,2,2,30.5129,287.866,290.978,51.5109,25.7629,0.5
12,12,1012,300,300,2600,2.16,0,11.5,140,30,16,12,0,2,6,50,2,2,33.4898,289.934,290.892,50.2813,32.7833,0.5
13,13,1013,250,250,2600,1.5,0,11.5,140,30,16,12,0,0,6,75,2,2,32.7108,291.1,292.903,75.3582,26.9302,0.5
14,14,1014,300,300,2600,2.16,0,11.5,140,30,12,12,2,2,6,50,2,2,29.0755,287.378,280.022,50.0301,27.9593,0.5
15,15,1015,300,300,2600,2.16,0,11.5,140,30,12,12,2,2,6,50,2,2,32.5833,290.984,287.943,50.5177,24.0756,0.5
16,16,1016,250,250,2600,1.5,0,11.5,140,30,16,12,0,0,6,75,2,2,29.6819,287.599,292.462,76.7963,30.0471,0.5
1001,1001,2001,250,250,2600,1.5,0,11.5,140,30,16,12,0,1,6,50,2,2,35.1431,289.647,284.833,50.4058,33.2895,0.5
